time,type
1719303300,start
1719302942,start
1719303597,start
1719306093,start
1719303615,start
1719303597,start
1719303572,start
1719303597,start
1719303676,start
1719303895,start
1719304006,start
1719304006,start
1719304054,start
1719304087,start
1719304104,start
1719304112,start
1719304120,start
1719304656,start
1719304663,start
1719304943,start
1719305117,start
1719305155,start
1719305316,start
1719305367,start
1719305397,start
1719305448,start
1719305610,start
1719305692,start
1719305752,start
1719305805,start
1719305900,start
1719305965,start
1719305974,start
1719306396,start
1719306445,start
1719306449,start
1719306455,start
1719307772,start
1719306790,start
1719306870,start
1719307101,start
1719307202,start
1719307420,start
1719307481,start
1719307519,start
1719307571,start
1719307616,start
1719307650,start
1719307730,start
1719307789,start
1719307824,start
1719307907,start
1719308067,start
1719313305,start
1719308425,start
1719314076,start
1719308916,start
1719309842,start
1719310456,start
1719310482,start
1719311200,start
1719312109,start
1719313939,start
1719319372,start
1719316968,start
1719314274,start
1719314553,start
1719318928,start
1719315154,start
1719315234,start
1719315308,start
1719316000,start
1719316049,start
1719316579,start
1719316878,start
1719316560,start
1719316983,start
1719317026,start
1719337011,start
1719331515,start
1719317426,start
1719318546,start
1719318529,start
1719318863,start
1719319918,start
1719318869,start
1719319220,start
1719319633,start
1719328089,start
1719320094,start
1719320511,start
1719321113,start
1719328119,start
1719327117,start
1719337553,start
1719328593,start
1719336969,start
1719330434,start
1719331159,start
1719331416,start
1719331747,start
1719332042,start
1719332627,start
1719332919,start
1719337011,start
1719333199,start
1719333581,start
1719333870,start
1719334125,start
1719334290,start
1719334796,start
1719335033,start
1719335291,start
1719335638,start
1719335893,start
1719360620,start
1719337882,start
1719338427,start
1719361158,start
1719362108,start
1719362740,start
1719362865,start
1719363363,start
1719363974,start
1719364123,start
1719364142,start
1719364142,start
1719364242,start
1719370369,start
1719364268,start
1719364291,start
1719364362,start
1719364603,start
1719364759,start
1719364818,start
1719364840,start
1719364876,start
1719365057,start
1719365077,start
1719365120,start
1719365225,start
1719365266,start
1719365303,start
1719365556,start
1719365647,start
1719365865,start
1719365993,start
1719366063,start
1719366145,start
1719366358,start
1719366487,start
1719366616,start
1719366695,start
1719366961,start
1719367039,start
1719367107,start
1719367263,start
1719367296,start
1719367329,start
1719367558,start
1719367721,start
1719367769,start
1719367831,start
1719367809,start
1719368266,start
